name,description,price,category,sub_category
iPhone 13,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$1169.51,Electronics,smartphones
iPhone 13 Pro,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$1025.49,Electronics,smartphones
iPhone 14,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$768.61,Electronics,smartphones
iPhone 14 Pro Max,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$836.39,Electronics,smartphones
iPhone SE,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$673.71,Electronics,smartphones
Samsung Galaxy S21,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$1471.75,Electronics,smartphones
Samsung Galaxy S21 Ultra,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$939.25,Electronics,smartphones
Samsung Galaxy S22,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$820.31,Electronics,smartphones
Samsung Galaxy Z Fold3,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$837.53,Electronics,smartphones
Samsung Galaxy A52,"A powerful smartphone with advanced features, exceptional camera quality, and a sleek design.",$1407.62,Electronics,smartphones
LG TV,A premium tv designed for quality and durability. Perfect for everyday use.,$171.06,Electronics,laptops
Samsung Smartwatch,A premium smartwatch designed for quality and durability. Perfect for everyday use.,$104.34,Electronics,smartwatches
Sony Smartphone,A premium smartphone designed for quality and durability. Perfect for everyday use.,$903.48,Electronics,laptops
Panasonic Laptop,A premium laptop designed for quality and durability. Perfect for everyday use.,$922.62,Electronics,headphones
HP Headphones,A premium headphones designed for quality and durability. Perfect for everyday use.,$956.75,Electronics,laptops
Adidas TV,A premium tv designed for quality and durability. Perfect for everyday use.,$500.92,Electronics,smartwatches
Panasonic Smartwatch,A premium smartwatch designed for quality and durability. Perfect for everyday use.,$977.24,Electronics,smartphones
Sony Headphones,A premium headphones designed for quality and durability. Perfect for everyday use.,$102.83,Electronics,tablets
Samsung Bluetooth Speaker,A premium bluetooth speaker designed for quality and durability. Perfect for everyday use.,$762.23,Electronics,smartphones
Sony Smartwatch,A premium smartwatch designed for quality and durability. Perfect for everyday use.,$105.76,Electronics,laptops
Dell VR Headset,A premium vr headset designed for quality and durability. Perfect for everyday use.,$620.32,Electronics,smartwatches
Samsung Camera,A premium camera designed for quality and durability. Perfect for everyday use.,$595.29,Electronics,laptops
Dell Tablet,A premium tablet designed for quality and durability. Perfect for everyday use.,$204.55,Electronics,laptops
Dell Camera,A premium camera designed for quality and durability. Perfect for everyday use.,$118.13,Electronics,laptops
Philips Tablet,A premium tablet designed for quality and durability. Perfect for everyday use.,$733.92,Electronics,headphones
Panasonic VR Headset,A premium vr headset designed for quality and durability. Perfect for everyday use.,$389.06,Electronics,laptops
LG TV,A premium tv designed for quality and durability. Perfect for everyday use.,$917.61,Electronics,cameras
LG Laptop,A premium laptop designed for quality and durability. Perfect for everyday use.,$985.89,Electronics,headphones
Samsung VR Headset,A premium vr headset designed for quality and durability. Perfect for everyday use.,$722.02,Electronics,laptops
Nike VR Headset,A premium vr headset designed for quality and durability. Perfect for everyday use.,$194.32,Electronics,headphones
Samsung Smartphone,A premium smartphone designed for quality and durability. Perfect for everyday use.,$463.41,Electronics,tablets
Nike Gaming Console,A premium gaming console designed for quality and durability. Perfect for everyday use.,$931.74,Electronics,tablets
